,liste_preference
66,"[67  4 20 92  7 28 49 95 65 24  3 36 50 22 30  5 63 23 41 78 84 79 64 75
 93  1 80 26 99 46 16 62 14 56  9 61 86 98 33 44 52 31 59 87 32 88 83 10
 37 96  2 94 25 38 97 45 72 18 13 47  6 27 19  0 57 40 54 55 91  8 70 82
 58 11 69 66 48 15 68 29 17 12 51 60 77 73 71 35 74 90 53 42 21 43 85 76
 34 89 39 81]"
67,"[62 76 19  2 24 77 50 21 26 70  9 64 59 65 17 96 14  1 39 98 40 84 42 61
 88 87 78 38 23 35 33 10 86 49 20 28 85 43 90 63 74 68 15 27 55 29 81 58
 60 83 30 91  6  5 71 34 97  7 94 82 57 41 48 37 53 11 99 92 32 44 95 56
 31 12  4 72 47 73 13 45 89 36 46 66 22 18  0 52 51 54 79  3  8 80 16 93
 69 75 67 25]"
68,"[31 10 63 83 87 45 58 75 70 47 71 26 46 89 40 64 85 15 72 25 23 21 19 67
 37 50 93 61 48 55 28 22  8 33 94 79 54 78 80  3 42 24 56 98 84  7 90 32
  5 14 62 57 66 97 81 53 13 34 44 59 96  6 95 51 16 12 11 82 43 86 38 76
 68 20 65 77 52 88  2 73 49  0 35 69 60 74 99  1 41 92 18 91 27 39 36 30
 29  4  9 17]"
69,"[15 26 49 70 72 53 59 46 50 69 25 37 35 23 79 71 24 80 76 47 20 14 18  1
 74 58 11 60 41 85  8 88 62 12 32 27 84  2 65 87 16 54 92 99 29 17 31 56
 45 30  9 63 55 90 83 91 39 34 67 48 89 52 40 13 22 10 61  0 86 78 96 21
 77 94  6 75 36 81 19 38  4 66 98 43 42  3 33 51 64  5 82 44  7 57 93 95
 97 73 28 68]"
70,"[16 23 44 93 97 33 91 73 82 19 10 36 27  3 34  6 52 56 92  2 35 80 86 15
 39 60 13 22 43 71 30 38 66 70 77 75 42  8 29 74 79 69 18 78 46 54  7 87
  0 64  5 17 76 50 83 81 26 85 96 55 28 48  4 61 65 58 84 25 72 99 57 31
 11 95 63 89 94 12 49 68 32 90 14 45 20  1 24 98 40 21 88 53 37 62 41 59
 47 51  9 67]"
71,"[ 8 22 43 93  6 52 56 37  3 94 59 25 29 53 67 70 73 47 92 76 27 86 30 63
 19 57 64 69 26 21 20 50 38 81 75 89 34 77 13 46 98 60 51 91 31  2 11 66
 90  7 18  5 35 39 32 41 99 72 40 16 58 15 44 97  1 55 79 82 54  0 45 65
 85 14 49 88 36 83 23 68  4 17 24 84 80 42 78 10 96 62 71 95 87 61 28 48
 33  9 12 74]"
72,"[36  9 44 75 19 10 80 39 20 31  2 88 50 94 70 12 15 69 32 41  5 55 54 13
 38 79 71 87 57 63 33 11 73 35  3 89 26 17 92 68 29 34 96 85 93 76 22 46
 67 72 77  1 51 66 53 45  8 97 62 59 16 65 40 98 49 84 83 56 81 21 25 58
 91 14 28 74 47  0 99 43  4 48 37 27 86 24 18 23 42 52 30  6  7 90 82 61
 64 95 60 78]"
73,"[76 57 50 86 38 71 34 98 21 75 10 13  0 94 69 18 85 91 45 83 60 61 82 52
 14 56 27 97 74 12  9 95 54 25 90 53 33 59 65 22 68 72 15 17 35 89 30 26
 23 70 19 77 81 42 43 36 79 44 28 32 62  2  8 88  6 55 16 31 66 20 64 37
 46  4 87 51 48 99 40 39  1 58 84 78 11 80 67  7 29 73  5 92  3 93 41 24
 47 49 63 96]"
74,"[84 55  3 96 66 24 68  9 82 30 58 34 27 99 49 81 69 11 41 21 38 95 86 26
 63 92 54  6 19 85  1  8 28 48 31 39 98 90 75 23 76 80 53 18 89 70 35 22
 73 74 79  7 14 59 13 57 60 44 65 51 43 16 17 77 32 47 91 94 83  2 87 78
 29 20 64 97  0 50 45 67 56 72 62 37  4 71 15 52 46 36 93 25 42 88 12 10
 40 33  5 61]"
75,"[37 22 91 38 56 57 88 48 54 12 59 49 32 47 41 87 68 42 51 70 58 97 14 27
  2  1 75 77 83 81 34 26 69 55 25 13 99  8 46 84  9 74 52 98 85 29 76 72
 18 40 82 35 78 86 36 67 80  6 44 53 96 16  4 71  5 31 15 95 64  7 17 11
 50 93 33 30 73 23 28 43 90 94 19 79 89 45 60 65 39 24 66  0 61 21 10 92
  3 20 63 62]"
76,"[66 87 46 15 72 56 80 77 85 33 27 79 40  2 53 61 19 51 68 82 47 97 54 84
 26 91 78 98 76 12 58 20 99 17 62 64 67 16 39 45 24 29  9  0 65  5 30 48
 69 37 50 28 89 18  6 43  1 94 90 14 55 22 83 42 93 34  7 60 95  4 35 92
 41 32 74 13 52 70  3 25 49 71 31 23 88 44 38 59 86  8 63 73 10 36 57 75
 81 11 96 21]"
77,"[40 43 58 68 49 81  0  5 54 74 29 94 22 97 48 61 39 10 70  4 67 23 37 55
 31 13  2 82 47 64 46 72 57 62 42 27 32 79 24  1 33 99 91 12 85 96 56 69
 35 20 34 87 38 76  8 84 80 52 15  3 71 50 36 73 83 14 16 21 28 25 17 86
 18 98 66 19 26 53 59 75 63 60 89 93 41 30 78 92 77 88  6 51 44 65 95  7
 45 11 90  9]"
78,"[99 53  0 74  5 32 71  1  7 94 28 40 44 55 27 25 57 67  6 37 68 88 21 77
 54 13 41 50 29 26 93 10 48 17 86  8 96  4 65 60 46 79 11 98 63 91 78 12
 36 43 52 95 81 89 35 83 22 80 97  9 73 90 61 58 75 33 38 62 23 72 69 45
 47 24 20 18 14 49 42 51 76 31 66 87 64  3  2 15 34 16 19 84 30 56 39 92
 59 85 82 70]"
79,"[67 60 30 42 47 54 13 58 43 79 85 84 21 16 48 77 52 23 80 98  8 37 12 93
  0 11 87 24  5  4 25 75 19 74 86 53  6 27 63 31 66 33 18  7 65 59 81 88
 73 89 14  1 95 28 49 44  9 64 32 20 38 96 94 51 61 90 34 46 71 36 15 97
  2 68 83 99 62 82 72 29 92  3 22 78 91 40 35 50 10 41 39 57 76 55 45 17
 56 69 26 70]"
80,"[78 28 26 97 77 87 74 95 29  8 25 13  2 70 91 50 40  0 19 44 42 51 39 55
 22 98 48 88 65 10 73 20 84 31  7 11 16 59 49 24 63 52 46 93 15  5 83 18
 34 12 80 53 60 41 38 43 30 32  9 76 81 57 92 21 36  6 85 71 61 82 37 66
 56 27 96 64 99 33  3 58 86 62 23 68 45 90 89 67  4 47 17 54 79 69 72 35
 75 14 94  1]"
81,"[ 6 46 74 20  4 88 52 30 10 91 84 55 57 87 29  2 63 32  5 64 85  8 60 59
 97 14 31 18 48 33 15 90 92 54 47  3 58  0 34 13 53 70 83 96  1 36 78 89
 39 40  7 45 17 25 94 23 28 69 93 99 11 71 62 81 16 75 67 51 21 61 22 27
 19 73 76 26 12 50  9 95 42 44 56 38 24 68 86 80 82 66 79 98 77 41 65 72
 37 49 43 35]"
82,"[83 22 50 78 63 90 42 98 44 24 11 41 99 25 94 31 70 68 61 14 71  5 82 62
 18 59 80 96 92 97 45 88 35  7 91 86 17 30 51 81  6 57 26 13 38 47 53 87
 58 77 84 67 54 55  3 37  9 65 69 33 21 49 40 43 12 89  1 39 16 23 64 29
 20 74 76 48  4 19 36 73 72 75  2 46 60  0 15 85 95 66 32 79 52  8 28 27
 93 10 56 34]"
83,"[22 28 82 70 18 26 84  0  5  3 81 27 15 91 88 72 63 42  2  6 49 31 65 48
 30 71 52 32 44 29 59 80 16 19 38 54 36 64 74  9 61 85 89  1 86 53 78 69
 40 20 33 23  4 34 24 90 76 45 55 39 10 92 47 21 93 67 99  7 46 68 96 62
 25 11 58 87 12 37 97 51 95 77 98 43 83 14  8 73 17 56 75 41 79 94 57 13
 50 66 35 60]"
84,"[ 7 83 59 60 24 94 71 14 68 74 36 16  5 80 47 66  2 21 63 33 39 20 52 70
 90 91 12 69 57 38  8  3 15 84 64 98 78 27 96 49 89 53 42 37 41 67 44 55
 32  6 95 88  1 28  0 54 25  4 31 82 99 86 76 45 23 46 72 13 35 29 81 56
 10 51 79 85 40 11 19 26 73 18 48 61 58 43 50 77 62 17  9 65 87 30 97 93
 75 34 22 92]"
85,"[95 27 91 21 98 73 26  0 75  5 65 24 92 64 47 17 43 12 49 93 59 82  2  1
 37 81 14 39 96 62  9 58 72 74 40 97 25 32  7 68 34 84 71  4 89 78 57 52
 76 88 16 86 44 77  6 70 33 23 42 79 87 61 38 90 66 31 50 56 29 67  3 63
 18 35 46 94 11 99 83 15 41 69 55 85 51 60 28  8 36 10 80 22 30 45 20 53
 54 19 48 13]"
86,"[ 9  5 95  3 34 37 54 36 19  8 44 80 93 88 20 60 24 12 13 35 58 14 73 72
 64 85 46 11 16 42 39 25 78 45 70  1 21 38 90 96 66 89 94 33 91 41 40 29
 55 97 53 98 63 74 22 65 87 82 69 99 47 10 52 86 18  4 48 23 51 76 15 79
 77 43 67 30 84  2 50  0 57 28 56 49  6 71 62 61 32  7 92 26 83 75 81 31
 68 59 27 17]"
87,"[23 66 48 77 99 42  6 73 11 65 86 27 61 43  2 82 15 16 28 17 68 80 64 47
 56 30 22 71 26 32 85 20 14 21 35  4 92 96  9 45 38 50 19 55 52 84 13 39
 98 53  1 41  0 95 94 87 51 74 88 46 58 69 49 31 29 76 60 93 24 90 12 44
 67 25 78 97 59 40 91 89 37 70 75  3 79 54 81 33 18 34 36 10  7 83 63 57
  5 62  8 72]"
88,"[25 37 14 61 49 57 63 33  5 40 60 39 80 44 46 95 55 17 77 86 31  6 50 58
 19 62 90 41 52 78 70 32 66 27 74 81 89 35 92 73 99 51 29 64 88  9 69 68
 84 59 65 97 42 43  0 15 11 93  8 47 87 91 53 54 67  2 82 20 10 79 38 26
 72 56  4 30 13 34 96 45 75 16 94 71 48 22 18 85  1 28 23 21 12 83  3 98
 36 24 76  7]"
89,"[11 16 42 12 46 25 70 64 65 84 82 72 33 24 62 86 98 92 54 75  4 48 30 80
 20 53 14 74 61 43 97 29 10 28 15 77 47 32 19 41 45 78 50 55 36 71  7 63
 93  2 90 35 87 34 49 38 26 99  5 59  0 21 44 27  8 94 79 40 57 88 96 76
 17  6 68 91 52 56 37 95 51 23 39  3 67 18 81 60 89 83 66  9 73 31 85 69
 13 22  1 58]"
90,"[20 90 97 14 61 50 32 69  4 25 66 46 76 47 48 18 35 75 96 78  8  3  0 45
 80 34 26 23 87  5 71 94 64 72 70 24 68 43 55 86  1 41 99 31 27 12 89 74
  6 88 63 81 52 77 92 58 17 98 60 56  9 16 29 51 59 44 40 37 57 85 38 93
  7 42 10 39 22 83 62 49 65 13 73 67 33 53 91 54 28 11 82 95 30 79  2 36
 21 19 15 84]"
91,"[62 70 80 45 29 81 88 42 14 24  2 27 53 54 18  4 22  0 21 10 41 16 66 76
 92 19 43 84 12 36 59 97 26 71 79 57 55  7 40 75 38 46 69 83 93 64 31 28
 87 25 67  6 13 95 60 17 61 85 65 32 73 48  1 49 15 91  5 37 86 99 39  9
 63 90 58 47 11 33 96 94 52 44 77 30 35  3 82  8 74 89 51 34 78 68 23 98
 50 20 56 72]"
92,"[55 73 59 90 61 88 45 22  8 28  9 94 75 89 79 74 80 47 34 41 46 99 50 87
 86 13 72 65 96 19 54  4 40 38 70 66 43 56 10 48  3 77 82 62 57 24 16 93
 23 29  7 36 91 21 92 60 67 58 98 18 97 51 53  2 85 27 12 95 30 26 11 68
 71 81 44 52 64 63  6 33 69 31 20 39  1 83 32  0 35 76 17 49 25 37 78 42
  5 14 15 84]"
93,"[73 63 78 61 14 92 36 17 24 50 62 71 96 98 81 83 34 42 48  2 64  6 12 26
  7 39  1 89 66  0 77 82 70 53 51 68 30  5 44 23 29 47 59 54 86 15 35 88
 87 20 72  9 97 67 57 58 75 76 46 79 91 49 25 60 93 65 94 13 41 37 90 40
  4 18 22 11 10 80  8 19 56 32 95 16 99 52 84  3 74 38 33 27 21 45 55 69
 31 43 85 28]"
94,"[70  6 52 54 65 77 68  0 83 46 33 90 41 58 73 16  7 15 55 69 49 36 34 23
  1 88 40 59 76 22 12 25 51 38 86 47 14 91 80 85 82 96 62 24 74  8 92 66
 39 20 31 11 64 53 10 19  2 42 45 44 43 89 60 37 78 57  4  3 84 13 79 93
 81 50 26 28  5 32 61 99 95 17 97 21 30 29 72 98 27 71 56 75 87 94 63 35
 48  9 18 67]"
95,"[70 12 92 60 40  3 84 81 93 47 97 16 54  6 73 13 59 18 90 56  7 32 57  0
 55 37 20  4 42 10 48 78 41 51 83 22 75 29 87 19 15 28 34 24 31 39 33 96
 71 25 36 82 52 62 95  1 45 94 61  2 53 76 89  8 77 63 86 65 21 72 69 58
 64 80 85  9 46  5 44 91 26 66 99 27 88 23 79 17 30 98 11 67 68 14 74 43
 50 35 38 49]"
96,"[77 81  9 84 83 41 20  3 24 32 61 35 25 53 71 62 69 31 96  5 44 15 59 90
 95 94 36  1 47 14 37 60 55 54 85 10 76 22 17 46 63 74 27 30 66 82 18 29
 38  4  7 56 58 73 86 52  6 99 64 11 80 78 23 34 33 89 48  0 42 45 13 75
 87 97 70 65 43 57 21 51 19 39 92 79 16 68 26 93 28 40 67 72 91  8 12 50
 88  2 49 98]"
97,"[78 85 72 18 23 99 58 91 98 27  7 90 92 82 94 56 43 88  5 10 30 69 17 21
 41 47 39 57 50  8 62 89 64 28 25 44 26 76 34 86 67  1 77 93 38 83 35 22
 60 87 66 79 15 65 12 32 49  2 53 71 40 55 45 13 54 48 81 68 11 97 84  0
 73 70 42 95 59 14 75 31 16 29 52 46 36 20 61 24  9 33  4 19 80 37  6 96
  3 51 63 74]"
98,"[95 41 91 84 28 44 70 65 22 53 96 99  3 73  1 31 21 83 50 30 25 80 10 85
 94 36  4  8 32  2 46 58 19 60 56 33 76 24 72 27 13 88 74 17 61 68 29 43
  9 97 75 67 77 54 14 16 42 49 86 82 38 57 18 63  7 59 66 78  0 89  5 98
 40 23 20 48 26 45 71 55  6 47 34 62 81 39 12 15 79 93 37 69 64 51 35 52
 11 87 90 92]"
99,"[93 21 42 51 73 63 16  6 37 27 41 33 17 53  5 91 79 89 99 60 35  7 22 92
 12 13 26 70 55 72 38 75 64 56  4 80  0 20 61 87 82 94 23 62  8 52 57 29
 24 46 49 58 48 74 50 76 39 10 98 69 90 71 43 19  3 97 65 66 18 84 30  9
 77 40 34 96 78 85 88 47 31 32 83 14 45 67 54  2 28 15 86 11 81 44 68  1
 95 59 36 25]"
